"가구유형별","가구주의 연령별",2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010
"가구유형별","가구주의 연령별",계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인
"계","합계",14775329,2438225,15109514,2628346,15433649,2818062,15732068,3001257,16038858,3185621,16322100,3377666,16601723,3571412,16883417,3766306,17167884,3963334,17494884,4174073
"계","19세이하",82097,48574,80696,48469,78773,48020,77708,48072,79371,49827,76636,49469,75993,50376,77273,52537,79855,55624,83657,59640
"계","20~24세",371477,213993,392004,232759,411784,251315,422374,264304,420287,269087,415818,271797,404051,269559,395196,269019,397650,276126,413316,292693
"계","25~29세",1018235,349031,987415,364932,960698,381873,938730,400447,934728,427105,953958,451197,979207,478618,996586,502627,997070,518165,970433,518990
"계","30~34세",1773974,271735,1773741,302222,1764149,331770,1725261,355795,1663349,374090,1622979,386286,1572578,395702,1524930,405294,1491626,418412,1508069,446144
"계","35~39세",2079029,201095,2047608,217167,2018119,233177,2025729,253582,2029176,273893,2048469,298498,2068303,323690,2078391,347759,2049192,365129,2010826,380204
"1인 가구","합계",2438225,2438225,2628346,2628346,2818062,2818062,3001257,3001257,3185621,3185621,3377666,3377666,3571412,3571412,3766306,3766306,3963334,3963334,4174073,4174073
"1인 가구","19세이하",48574,48574,48469,48469,48020,48020,48072,48072,49827,49827,49469,49469,50376,50376,52537,52537,55624,55624,59640,59640
"1인 가구","20~24세",213993,213993,232759,232759,251315,251315,264304,264304,269087,269087,271797,271797,269559,269559,269019,269019,276126,276126,292693,292693
"1인 가구","25~29세",349031,349031,364932,364932,381873,381873,400447,400447,427105,427105,451197,451197,478618,478618,502627,502627,518165,518165,518990,518990
"1인 가구","30~34세",271735,271735,302222,302222,331770,331770,355795,355795,374090,374090,386286,386286,395702,395702,405294,405294,418412,418412,446144,446144
"1인 가구","35~39세",201095,201095,217167,217167,233177,233177,253582,253582,273893,273893,298498,298498,323690,323690,347759,347759,365129,365129,380204,380204
