"가구유형별","가구주의 연령별",2021,2021,2022,2022,2023,2023,2024,2024,2025,2025,2026,2026,2027,2027,2028,2028,2029,2029,2030,2030
"가구유형별","가구주의 연령별",계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인
"계","합계",21278321,6984891,21579415,7176225,21833527,7341206,22080462,7501431,22308987,7653333,22516347,7788636,22705521,7916566,22879575,8038194,23037240,8150080,23180129,8255041
"계","19세이하",67279,63769,66727,63382,61025,58083,60807,57989,62224,59452,63582,60857,64206,61558,63581,61057,63891,61448,64025,61666
"계","20~24세",591440,501601,579632,493017,555226,473574,533598,456337,500116,428790,465921,400447,452895,390153,451269,389626,447109,386861,451373,391346
"계","25~29세",1182354,841771,1194033,855614,1189916,857938,1177012,853637,1165575,850077,1141851,837212,1097609,808860,1043849,772955,998396,742687,935560,698982
"계","30~34세",1390087,676358,1444549,714400,1505880,756310,1555711,792843,1594382,823884,1629012,852902,1624120,860992,1605059,860994,1574498,854121,1547811,848622
"계","35~39세",1753757,512029,1659408,493513,1585475,479956,1555605,478993,1561461,488703,1570845,499391,1620043,522819,1679765,549942,1724884,572545,1757617,591164
"1인 가구","합계",6984891,6984891,7176225,7176225,7341206,7341206,7501431,7501431,7653333,7653333,7788636,7788636,7916566,7916566,8038194,8038194,8150080,8150080,8255041,8255041
"1인 가구","19세이하",63769,63769,63382,63382,58083,58083,57989,57989,59452,59452,60857,60857,61558,61558,61057,61057,61448,61448,61666,61666
"1인 가구","20~24세",501601,501601,493017,493017,473574,473574,456337,456337,428790,428790,400447,400447,390153,390153,389626,389626,386861,386861,391346,391346
"1인 가구","25~29세",841771,841771,855614,855614,857938,857938,853637,853637,850077,850077,837212,837212,808860,808860,772955,772955,742687,742687,698982,698982
"1인 가구","30~34세",676358,676358,714400,714400,756310,756310,792843,792843,823884,823884,852902,852902,860992,860992,860994,860994,854121,854121,848622,848622
"1인 가구","35~39세",512029,512029,493513,493513,479956,479956,478993,478993,488703,488703,499391,499391,522819,522819,549942,549942,572545,572545,591164,591164
